# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
  1     -1      0.32425       0.09722
  1      0     -0.13272       0.12275
  1      1     -0.15378       0.10058
  2     -2      0.47856       0.09770
  2     -1      0.03286       0.09689
  2      0     -0.35496       0.11297
  2      1     -0.04290       0.12383
  2      2      0.42983       0.08722
  3     -3     -0.49219       0.08684
  3     -2      0.14813       0.10832
  3     -1      0.15712       0.10168
  3      0      0.11488       0.10152
  3      1      0.06217       0.12147
  3      2     -0.35120       0.08888
  3      3     -0.02022       0.08970
  4     -4      0.06674       0.07903
  4     -3     -0.11857       0.08939
  4     -2     -0.10118       0.11267
  4     -1      0.36133       0.08830
  4      0      0.13883       0.10566
  4      1     -0.03856       0.10505
  4      2     -0.19211       0.09565
  4      3     -0.11236       0.08871
  4      4     -0.05458       0.09003
  5     -5     -0.10246       0.07900
  5     -4      0.02135       0.08123
  5     -3     -0.01152       0.09315
  5     -2     -0.13134       0.09920
  5     -1      0.25224       0.08257
  5      0     -0.07804       0.10346
  5      1     -0.05093       0.09595
  5      2     -0.19780       0.09079
  5      3     -0.27018       0.09555
  5      4     -0.28064       0.08159
  5      5     -0.13226       0.08335
  6     -6     -0.15704       0.07936
  6     -5      0.03924       0.07304
  6     -4     -0.02597       0.08161
  6     -3      0.10843       0.08808
  6     -2      0.10745       0.08656
  6     -1      0.22973       0.08285
  6      0      0.09034       0.09591
  6      1      0.05001       0.09018
  6      2     -0.07299       0.08278
  6      3     -0.19598       0.09059
  6      4     -0.09654       0.08771
  6      5     -0.07920       0.07784
  6      6     -0.18161       0.07559
  7     -7     -0.07151       0.07601
  7     -6      0.02179       0.06992
  7     -5     -0.02214       0.07520
  7     -4     -0.14987       0.08122
  7     -3      0.01233       0.07934
  7     -2      0.03930       0.07944
  7     -1      0.16804       0.08238
  7      0     -0.18679       0.08567
  7      1      0.11500       0.08684
  7      2     -0.08356       0.07375
  7      3      0.02509       0.08301
  7      4     -0.00667       0.08233
  7      5     -0.02284       0.07781
  7      6     -0.11905       0.07121
  7      7      0.15892       0.07099
