# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from high accuracy spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
  1     -1      0.21675       0.14115
  1      0     -0.26975       0.14878
  1      1     -0.17433       0.13002
  2     -2      0.49824       0.13368
  2     -1      0.01393       0.12814
  2      0     -0.34416       0.14082
  2      1     -0.04620       0.14824
  2      2      0.39738       0.12538
  3     -3     -0.27103       0.12851
  3     -2      0.10001       0.13667
  3     -1      0.20234       0.13468
  3      0      0.16522       0.12551
  3      1     -0.01694       0.14102
  3      2     -0.33349       0.11426
  3      3     -0.12193       0.11805
  4     -4     -0.09536       0.11887
  4     -3     -0.16100       0.11397
  4     -2     -0.00770       0.13671
  4     -1      0.31341       0.11381
  4      0      0.12598       0.13079
  4      1     -0.00231       0.11779
  4      2     -0.08774       0.11999
  4      3     -0.15265       0.11464
  4      4      0.02593       0.11385
  5     -5      0.05133       0.10629
  5     -4     -0.02344       0.10855
  5     -3     -0.11002       0.11714
  5     -2     -0.08214       0.11558
  5     -1      0.24289       0.10588
  5      0     -0.07567       0.12177
  5      1     -0.06144       0.11119
  5      2     -0.25714       0.10754
  5      3     -0.28872       0.11437
  5      4     -0.20242       0.09997
  5      5     -0.24873       0.11075
  6     -6     -0.11996       0.10272
  6     -5      0.09692       0.09467
  6     -4      0.04505       0.10168
  6     -3      0.02027       0.10456
  6     -2      0.05938       0.10133
  6     -1      0.19481       0.10115
  6      0      0.04467       0.10999
  6      1     -0.02117       0.10274
  6      2     -0.08134       0.09685
  6      3     -0.15971       0.10322
  6      4     -0.14608       0.10447
  6      5     -0.06210       0.09660
  6      6     -0.06330       0.09767
  7     -7     -0.13989       0.09373
  7     -6     -0.10714       0.08786
  7     -5     -0.01017       0.09187
  7     -4     -0.19179       0.09468
  7     -3      0.06244       0.09162
  7     -2      0.01122       0.09172
  7     -1      0.22944       0.09700
  7      0     -0.14518       0.09605
  7      1      0.15672       0.09558
  7      2     -0.07567       0.08573
  7      3      0.00589       0.09303
  7      4      0.03166       0.09386
  7      5      0.05036       0.09204
  7      6     -0.05508       0.08759
  7      7      0.13615       0.09003
  8     -8     -0.11281       0.08528
  8     -7     -0.08361       0.08260
  8     -6     -0.09288       0.08466
  8     -5     -0.05273       0.08519
