# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot and shiptrack data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
  1     -1      0.20660       0.06855
  1      0     -0.31628       0.10653
  1      1      0.01955       0.08892
  2     -2      0.62062       0.07472
  2     -1      0.08653       0.06475
  2      0     -0.09597       0.09811
  2      1     -0.03900       0.11453
  2      2      0.34838       0.07049
  3     -3     -0.57029       0.06731
  3     -2     -0.05755       0.08990
  3     -1      0.22907       0.06992
  3      0      0.05153       0.09024
  3      1     -0.00111       0.11136
  3      2     -0.33455       0.07180
  3      3      0.12222       0.06855
  4     -4      0.10015       0.05594
  4     -3     -0.06780       0.07274
  4     -2     -0.07072       0.09059
  4     -1      0.25456       0.07279
  4      0      0.28333       0.08841
  4      1     -0.07213       0.09576
  4      2     -0.22432       0.07547
  4      3     -0.11487       0.07178
  4      4     -0.00754       0.07128
  5     -5     -0.02576       0.05846
  5     -4     -0.06115       0.06486
  5     -3     -0.01687       0.07162
  5     -2     -0.04088       0.08304
  5     -1      0.21537       0.06311
  5      0     -0.17509       0.08667
  5      1     -0.06887       0.08888
  5      2     -0.26696       0.07523
  5      3     -0.19452       0.07459
  5      4     -0.30539       0.06594
  5      5     -0.00045       0.06240
  6     -6     -0.18269       0.05943
  6     -5      0.14774       0.05816
  6     -4      0.01844       0.06057
  6     -3      0.13841       0.06971
  6     -2      0.09440       0.07329
  6     -1      0.31706       0.06118
  6      0      0.17497       0.08203
  6      1     -0.00212       0.08100
  6      2     -0.15365       0.07135
  6      3     -0.15321       0.07139
  6      4     -0.14390       0.06834
  6      5     -0.16977       0.06163
  6      6     -0.19713       0.05425
  7     -7     -0.11434       0.05688
  7     -6      0.00167       0.05505
  7     -5     -0.09186       0.05792
  7     -4     -0.23481       0.06050
  7     -3      0.00437       0.06489
  7     -2      0.05642       0.06697
  7     -1      0.13727       0.06005
  7      0     -0.21938       0.07528
  7      1     -0.05144       0.07523
  7      2     -0.00740       0.06405
  7      3      0.02004       0.06647
  7      4     -0.01053       0.06376
  7      5     -0.01752       0.05767
  7      6     -0.02999       0.05543
  7      7      0.08954       0.04953
  8     -8     -0.11505       0.05157
  8     -7     -0.12404       0.05454
  8     -6      0.07952       0.05336
  8     -5     -0.04412       0.05365
  8     -4      0.03729       0.05724
  8     -3      0.15331       0.05866
  8     -2      0.06353       0.06250
  8     -1      0.09599       0.05672
  8      0     -0.12237       0.06802
  8      1      0.03771       0.07106
  8      2     -0.12331       0.05802
  8      3      0.10014       0.06061
  8      4     -0.18956       0.06017
  8      5      0.09469       0.05618
  8      6     -0.15995       0.05137
  8      7     -0.17716       0.04726
  8      8      0.01161       0.04793
  9     -9      0.17310       0.04683
  9     -8     -0.07667       0.04680
  9     -7     -0.01991       0.04906
  9     -6      0.03687       0.05000
  9     -5      0.12753       0.05219
  9     -4      0.05331       0.05320
  9     -3     -0.03957       0.05452
  9     -2      0.10162       0.05746
